EN,EM,Description,Composition strategy,Attribute,generated_sentence
low furniture,↘️🛋️,"[':down-right_arrow:', ':couch_and_lamp:']",Direct,HEIGHT,"""Low furniture is often designed to provide a modern and stylish look, as seen with this angled sofa."""
low furniture,🔻🪑🛋️,"[':red_triangle_pointed_down:', ':chair:', ':couch_and_lamp:']",Direct,HEIGHT,The low furniture includes a stylish red chair and a comfortable couch.
low furniture,🪑🪑⬇️,"[':chair:', ':chair:', ':down_arrow:']",Direct,HEIGHT,"""These chairs are low to the ground."""
low furniture,↘️💺🛏️,"[':down-right_arrow:', ':seat:', ':bed:']",Direct,HEIGHT,"""Low furniture includes items like a slanted chair and a bed that sit close to the ground."""
low furniture,⬇️🪑,"[':down_arrow:', ':chair:']",Direct,HEIGHT,"The low furniture, represented by the downward arrow and chair emoji, suggests that the seating is designed to be closer to the ground."
low furniture,🛋️,[':couch_and_lamp:'],Single,HEIGHT,The sofa is a perfect example of low furniture that provides comfort and style to any living space.
low furniture,❌🛏️,"[':cross_mark:', ':bed:']",Direct,HEIGHT,"""Low furniture is not suitable for everyone."""
low furniture,🔻🛋,"[':red_triangle_pointed_down:', ':couch_and_lamp:']",Direct,HEIGHT,"The low furniture, like this couch, is perfect for creating a cozy and inviting living space."
critical illness,😷🤒🤕,"[':face_with_medical_mask:', ':face_with_thermometer:', ':face_with_head-bandage:']",Semantic list,CRISIS,"The person is feeling unwell, showing symptoms of a critical illness with a mask, fever, and a headache."
critical illness,☠️🤧,"[':skull_and_crossbones:', ':sneezing_face:']",Direct,CRISIS,"""Feeling extremely unwell due to a serious illness."""
critical illness,🤕🧑‍⚕️💊😷🦠🪦,"[':face_with_head-bandage:', ':health_worker:', ':pill:', ':face_with_medical_mask:', ':microbe:', ':headstone:']",Metaphorical,CRISIS,"The person is suffering from a critical illness and needs medical attention, medication, and is taking precautions against infection."
critical illness,🤮👨‍⚕️,"[':face_vomiting:', ':man_health_worker:']",Metaphorical,CRISIS,A doctor is treating a patient who is experiencing severe nausea due to a critical illness.
critical illness,🤒🚨,"[':face_with_thermometer:', ':police_car_light:']",Direct,CRISIS,"""I am feeling very sick and need urgent medical attention due to a critical illness."""
critical illness,🤒‼️,"[':face_with_thermometer:', ':double_exclamation_mark:']",Direct,CRISIS,"""I'm feeling very unwell and it's a serious situation."""
critical illness,🤢🤢,"[':nauseated_face:', ':nauseated_face:']",Reduplication,CRISIS,"Feeling nauseous and unwell, I fear I might be dealing with a critical illness."
critical illness,🤮🤒🌡️🌡️,"[':face_vomiting:', ':face_with_thermometer:', ':thermometer:', ':thermometer:']",Metaphorical,CRISIS,"I'm feeling nauseous and feverish, indicating a serious illness."
critical mass,⚖️⚠️⚠️,"[':balance_scale:', ':warning:', ':warning:']",Direct,CRITICALITY,"""The balance of justice is at a critical point, and we must be cautious of the consequences."""
critical mass,❗⚖️🐘,"[':red_exclamation_mark:', ':balance_scale:', ':elephant:']",Direct,CRITICALITY,"""Reaching a critical mass of awareness about the importance of justice for the endangered elephant population is essential!"""
critical mass,⚖️👩‍⚖️👨‍⚖️,"[':balance_scale:', ':woman_judge:', ':man_judge:']",Metaphorical,CRITICALITY,"The judges weighed the evidence carefully, reaching a critical mass of consensus in their decision."
critical mass,‼️⚖️,"[':double_exclamation_mark:', ':balance_scale:']",Direct,CRITICALITY,"The critical mass of awareness has reached a pivotal point, demanding justice and accountability."
critical mass,🚨🏋️‍♀️,"[':police_car_light:', ':woman_lifting_weights:']",Metaphorical,CRITICALITY,"""Attention! It's time to reach critical mass in our fitness journey and lift our goals to new heights!"""
critical mass,🤏⚛️❗,"[':pinching_hand:', ':atom_symbol:', ':red_exclamation_mark:']",Direct,CRITICALITY,"""Even a small change can lead to a significant breakthrough in reaching critical mass!"""
critical mass,💹💹,"[':chart_increasing_with_yen:', ':chart_increasing_with_yen:']",Reduplication,CRITICALITY,"As more investors join the market, the momentum reaches a critical mass, driving up stock prices significantly."
critical mass,⚖️❗❗❗,"[':balance_scale:', ':red_exclamation_mark:', ':red_exclamation_mark:', ':red_exclamation_mark:']",Direct,CRITICALITY,"""Achieving critical mass is essential for balancing justice and fairness in any system!"""
critical stage,🗝️📈,"[':old_key:', ':chart_increasing:']",Direct,CRISIS,"""Unlocking new opportunities is crucial at this critical stage of growth."""
critical stage,✔️👍❌☠️,"[':check_mark:', ':thumbs_up:', ':cross_mark:', ':skull_and_crossbones:']",Metaphorical,CRISIS,"""At this critical stage, we have confirmed the positives, but there are significant risks that could lead to failure."""
critical stage,🏥,[':hospital:'],Single,CRISIS,The patient is in a critical stage and requires immediate medical attention at the hospital.
critical stage,‼️👣,"[':double_exclamation_mark:', ':footprints:']",Metaphorical,CRISIS,"""At this critical stage, every step we take matters."""
critical stage,🚨🤞,"[':police_car_light:', ':crossed_fingers:']",Metaphorical,CRISIS,"""Stay hopeful as we navigate this critical stage."""
critical stage,📈❗,"[':chart_increasing:', ':red_exclamation_mark:']",Direct,CRISIS,"The situation is at a critical stage, and we need to focus on improving our performance."
critical stage,😰😰,"[':anxious_face_with_sweat:', ':anxious_face_with_sweat:']",Reduplication,CRISIS,"""I'm feeling extremely anxious and stressed as we reach this critical stage."""
critical stage,📈📉❗❗,"[':chart_increasing:', ':chart_decreasing:', ':red_exclamation_mark:', ':red_exclamation_mark:']",Direct,CRISIS,"The market is at a critical stage, fluctuating between growth and decline!"
critical temperature,🌡️⚠️,"[':thermometer:', ':warning:']",Direct,CRITICALITY,"The temperature has reached a critical level, indicating potential danger."
critical temperature,❗🌡️,"[':red_exclamation_mark:', ':thermometer:']",Direct,CRITICALITY,"""The critical temperature has been reached, indicating a crucial change in conditions."""
critical temperature,🤒 🏥,"[':face_with_thermometer:', ':hospital:']",Metaphorical,CRITICALITY,Feeling unwell and needing to go to the hospital due to a critical temperature.
critical temperature,♨️🤕,"[':hot_springs:', ':face_with_head-bandage:']",Metaphorical,CRITICALITY,"The critical temperature can cause injuries, leading to burns and pain."
critical temperature,🚨🌡,"[':police_car_light:', ':thermometer:']",Direct,CRITICALITY,"""Alert: The temperature has reached a critical level."""
critical temperature,🌡️❗,"[':thermometer:', ':red_exclamation_mark:']",Direct,CRITICALITY,"""The critical temperature has been reached!"""
critical temperature,🌡️😯,"[':thermometer:', ':hushed_face:']",Metaphorical,CRITICALITY,"The critical temperature has reached an alarming level, leaving everyone shocked."
critical temperature,❗❗🌡️🌡️🌡️,"[':red_exclamation_mark:', ':red_exclamation_mark:', ':thermometer:', ':thermometer:', ':thermometer:']",Direct,CRITICALITY,"""Attention: The temperature has reached a critical level!"""
critical shortage,❌❓⚠️⚠️,"[':cross_mark:', ':red_question_mark:', ':warning:', ':warning:']",Metaphorical,CRISIS,"""There's a critical shortage, and we need to address the issue urgently!"""
critical shortage,❌🍞☠️,"[':cross_mark:', ':bread:', ':skull_and_crossbones:']",Direct,CRISIS,"""There is a critical shortage of bread, leading to dire consequences."""
critical shortage,❌🍱 ❌ 🍼,"[':cross_mark:', ':bento_box:', ':cross_mark:', ':baby_bottle:']",Metaphorical,CRISIS,There is a critical shortage of food and baby formula.
critical shortage,‼️🦐🦑🍞🥝,"[':double_exclamation_mark:', ':shrimp:', ':squid:', ':bread:', ':kiwi_fruit:']",Metaphorical,CRISIS,"""There is a critical shortage of shrimp, squid, bread, and kiwi."""
critical shortage,🚨📉,"[':police_car_light:', ':chart_decreasing:']",Direct,CRISIS,"""Emergency alert: there is a critical shortage."""
critical shortage,❗🥑🍎🧀🍚❗😥,"[':red_exclamation_mark:', ':avocado:', ':red_apple:', ':cheese_wedge:', ':cooked_rice:', ':red_exclamation_mark:', ':sad_but_relieved_face:']",Metaphorical,CRISIS,"""There's a critical shortage of essential food items like avocados, apples, cheese, and rice, and it's causing a lot of distress."""
critical shortage,🤏🍞,"[':pinching_hand:', ':bread:']",Metaphorical,CRISIS,"""The bread supply is critically low."""
critical shortage,⌛❌🧺,"[':hourglass_done:', ':cross_mark:', ':basket:']",Metaphorical,CRISIS,"The hourglass indicates time is running out, and the basket represents supplies, so there is a critical shortage of essential items."
critical element,🗝️⚠️⚠️,"[':old_key:', ':warning:', ':warning:']",Metaphorical,DISPENSABILITY,"""The key is a critical element that unlocks important opportunities."""
critical element,🔥💧❄️⚡🐉,"[':fire:', ':droplet:', ':snowflake:', ':high_voltage:', ':dragon:']",Metaphorical,DISPENSABILITY,"The critical elements of fire, water, ice, and electricity come together to create a powerful dragon."
critical element,❗ 🚶,"[':red_exclamation_mark:', ':person_walking:']",Direct,DISPENSABILITY,"""Walking is a critical element for maintaining a healthy lifestyle."""
critical element,‼️⛑️,"[':double_exclamation_mark:', ':rescue_worker’s_helmet:']",Direct,DISPENSABILITY,"""Emergency services are a critical element in ensuring public safety."""
critical element,🚨🚨,"[':police_car_light:', ':police_car_light:']",Reduplication,DISPENSABILITY,"""Attention: This is a critical element that requires immediate action!"""
critical element,⚛️🧫‼️,"[':atom_symbol:', ':petri_dish:', ':double_exclamation_mark:']",Direct,DISPENSABILITY,The critical element of scientific discovery is understanding the fundamental building blocks of life.
critical element,🉐🆘,"[':Japanese_bargain_button:', ':SOS_button:']",Semantic list,DISPENSABILITY,"""Pay attention to this critical element for immediate assistance!"""
critical element,👩‍🔬❗,"[':woman_scientist:', ':red_exclamation_mark:']",Metaphorical,DISPENSABILITY,The scientist has identified a critical element!
immediate reply,💨💨🔁💬,"[':dashing_away:', ':dashing_away:', ':repeat_button:', ':speech_balloon:']",Metaphorical,SPEED,"""Quick response in the chat!"""
immediate reply,❗📤,"[':red_exclamation_mark:', ':outbox_tray:']",Direct,SPEED,"""Please respond immediately to this message!"""
immediate reply,⏩📞📱,"[':fast-forward_button:', ':telephone_receiver:', ':mobile_phone:']",Metaphorical,SPEED,"""Please respond to my call right away!"""
immediate reply,🔜📨,"[':SOON_arrow:', ':incoming_envelope:']",Direct,SPEED,"""Please send your response right away."""
immediate reply,🚨📲,"[':police_car_light:', ':mobile_phone_with_arrow:']",Direct,SPEED,"""Please respond immediately to this urgent message!"""
immediate reply,🏃‍♂️📞💭,"[':man_running:', ':telephone_receiver:', ':thought_balloon:']",Metaphorical,SPEED,"""Running to answer a call and thinking about how quickly I need to reply."""
immediate reply,⏩📨,"[':fast-forward_button:', ':incoming_envelope:']",Direct,SPEED,"""Please respond to my message right away."""
immediate reply,⏱️📲,"[':stopwatch:', ':mobile_phone_with_arrow:']",Direct,SPEED,"""Please respond to my message as soon as possible."""
immediate influence,💨💨🧍‍♂️🔀🧍‍♀️,"[':dashing_away:', ':dashing_away:', ':man_standing:', ':shuffle_tracks_button:', ':woman_standing:']",Metaphorical,IMMEDIACY,"The man swiftly changes direction, immediately influencing the woman standing nearby."
immediate influence,💃🕺🙋🙋‍♀️🙋‍♂️,"[':woman_dancing:', ':man_dancing:', ':person_raising_hand:', ':woman_raising_hand:', ':man_raising_hand:']",Metaphorical,IMMEDIACY,"""People are dancing and celebrating together, showing the immediate influence of joy and excitement in the atmosphere."""
immediate influence,⏩👩‍⚖️👨‍⚖️,"[':fast-forward_button:', ':woman_judge:', ':man_judge:']",Metaphorical,IMMEDIACY,"""Judges have the power to make immediate decisions that influence the outcome of cases."""
immediate influence,🔜👨‍👩‍👧‍👦,"[':SOON_arrow:', ':family_man_woman_girl_boy:']",Metaphorical,IMMEDIACY,"""An immediate influence on a family is the guidance and support they provide to each other."""
immediate influence,🙇🏻‍♀️🙇🏻‍♀️,"[':woman_bowing_light_skin_tone:', ':woman_bowing_light_skin_tone:']",Reduplication,IMMEDIACY,"The two women are bowing in respect, showing their immediate influence on each other's thoughts and actions."
immediate influence,👮‍♂️👇🙏🤝,"[':man_police_officer:', ':backhand_index_pointing_down:', ':folded_hands:', ':handshake:']",Metaphorical,IMMEDIACY,"A police officer is signaling for attention, asking for cooperation and showing a willingness to help."
immediate influence,🔝🔝,"[':TOP_arrow:', ':TOP_arrow:']",Reduplication,IMMEDIACY,"""Your immediate influence is at the top of everyone's mind."""
immediate influence,🧑‍🤝‍🧑↔️❗,"[':people_holding_hands:', ':left-right_arrow:', ':red_exclamation_mark:']",Metaphorical,IMMEDIACY,"""People can have a direct and immediate impact on each other's lives!"""
thin oil,🛢️,[':oil_drum:'],Single,CONSISTENCY,The thin oil is stored in a barrel ready for use.
thin oil,♨️🪔,"[':hot_springs:', ':diya_lamp:']",Direct,CONSISTENCY,The thin oil is heated over a gentle flame.
thin oil,🤏🪔,"[':pinching_hand:', ':diya_lamp:']",Direct,CONSISTENCY,The tiny amount of oil is just enough to light the lamp.
thin oil,💧 🪔,"[':droplet:', ':diya_lamp:']",Metaphorical,CONSISTENCY,The thin oil glistens like a drop of water next to a small lamp.
thin oil,🤏🛢️,"[':pinching_hand:', ':oil_drum:']",Direct,CONSISTENCY,The thin oil was carefully measured out with a pinch.
thin oil,🤏🥃,"[':pinching_hand:', ':tumbler_glass:']",Direct,CONSISTENCY,"""Just a small sip of that thin oil."""
thin oil,🤏📏🛢️,"[':pinching_hand:', ':straight_ruler:', ':oil_drum:']",Direct,CONSISTENCY,"""Use a thin layer of oil."""
thin oil,🤏 👨‍🍳🛢,"[':pinching_hand:', ':man_cook:', ':oil_drum:']",Direct,CONSISTENCY,The chef carefully drizzles a thin layer of oil.
thin soup,🍲👎,"[':pot_of_food:', ':thumbs_down:']",Metaphorical,CONSISTENCY,The soup is too thin and not satisfying.
thin soup,♨️,[':hot_springs:'],Single,CONSISTENCY,The steaming bowl of thin soup is perfect for warming up on a chilly day.
thin soup,💧🥫,"[':droplet:', ':canned_food:']",Metaphorical,CONSISTENCY,A thin soup made with just water and a few ingredients.
thin soup,💦💦🥣,"[':sweat_droplets:', ':sweat_droplets:', ':bowl_with_spoon:']",Metaphorical,CONSISTENCY,The thin soup is so watery that it splashes everywhere!
thin soup,🍜,[':steaming_bowl:'],Single,CONSISTENCY,"A steaming bowl of thin soup awaits, filled with delicate noodles and rich flavors."
thin soup,🤏🫕,"[':pinching_hand:', ':fondue:']",Direct,CONSISTENCY,The thin soup is served in a small bowl.
thin soup,🤏📏🥣,"[':pinching_hand:', ':straight_ruler:', ':bowl_with_spoon:']",Direct,CONSISTENCY,The soup is so thin that you can barely see it!
thin soup,🤏 🥣,"[':pinching_hand:', ':bowl_with_spoon:']",Direct,CONSISTENCY,The soup is so thin that you can barely hold it with your fingers.
thin air,🌫️,[':fog:'],Single,CONSISTENCY,"The fog rolled in, making everything seem like it vanished into thin air."
thin air,♨️,[':hot_springs:'],Single,CONSISTENCY,The steam rising from the hot springs seemed to vanish into thin air.
thin air,🤏🍃,"[':pinching_hand:', ':leaf_fluttering_in_wind:']",Direct,CONSISTENCY,The delicate breeze felt like it was just a whisper in the air.
thin air,🍃,[':leaf_fluttering_in_wind:'],Single,CONSISTENCY,"The leaves danced lightly in the breeze, as if they were floating in thin air."
thin air,😵‍💫💨,"[':face_with_spiral_eyes:', ':dashing_away:']",Metaphorical,CONSISTENCY,The dizzying thoughts vanished into thin air.
thin air,🍃🤏,"[':leaf_fluttering_in_wind:', ':pinching_hand:']",Direct,CONSISTENCY,The leaves seem to vanish into thin air.
thin air,🤏📏💨,"[':pinching_hand:', ':straight_ruler:', ':dashing_away:']",Direct,CONSISTENCY,The tiny measurement vanished into thin air.
thin air,🤌🏻🌬,"[':pinched_fingers_light_skin_tone:', ':wind_face:']",Direct,CONSISTENCY,"""The delicate touch of a breeze disappears into thin air."""
thin line,🤏✍️,"[':pinching_hand:', ':writing_hand:']",Direct,WIDTH,"""Writing with a delicate touch."""
thin line,♨️✏️📝,"[':hot_springs:', ':pencil:', ':memo:']",Direct,WIDTH,"""Sketching a plan for a relaxing hot spring experience."""
thin line,🤏📏,"[':pinching_hand:', ':straight_ruler:']",Direct,WIDTH,"The thin line is barely visible, just a pinch of space between the two points."
thin line,📝,[':memo:'],Single,WIDTH,"""Please make sure to write your notes clearly and maintain a thin line between each point."""
thin line,📏🤏📉,"[':straight_ruler:', ':pinching_hand:', ':chart_decreasing:']",Direct,WIDTH,"""The measurement shows a thin line."""
thin line,🤏🖊️,"[':pinching_hand:', ':pen:']",Direct,WIDTH,"""Drawing a thin line with a delicate touch."""
thin line,🤏📏➖,"[':pinching_hand:', ':straight_ruler:', ':minus:']",Direct,WIDTH,"""Draw a thin line using a ruler."""
thin line,🤌🏻〰,"[':pinched_fingers_light_skin_tone:', ':wavy_dash:']",Direct,WIDTH,"""Make sure to draw a thin line."""
thick soup,🍲🍲👍,"[':pot_of_food:', ':pot_of_food:', ':thumbs_up:']",Metaphorical,CONSISTENCY,The thick soup is delicious!
thick soup,🍲🍲🍲,"[':pot_of_food:', ':pot_of_food:', ':pot_of_food:']",Reduplication,CONSISTENCY,The kitchen was filled with the comforting aroma of thick soup simmering on the stove.
thick soup,🥫🍦,"[':canned_food:', ':soft_ice_cream:']",Metaphorical,CONSISTENCY,The thick soup is as comforting as a scoop of ice cream.
thick soup,💦🥣,"[':sweat_droplets:', ':bowl_with_spoon:']",Metaphorical,CONSISTENCY,The thick soup is steaming and ready to be enjoyed!
thick soup,🙌🍲,"[':raising_hands:', ':pot_of_food:']",Metaphorical,CONSISTENCY,"""Let's celebrate with a delicious bowl of thick soup!"""
thick soup,🫕🫕🫕,"[':fondue:', ':fondue:', ':fondue:']",Reduplication,CONSISTENCY,The pot is bubbling with a rich and hearty thick soup.
thick soup,📏🥣,"[':straight_ruler:', ':bowl_with_spoon:']",Metaphorical,CONSISTENCY,The thick soup is so hearty that it could fill a measuring cup.
thick soup,🥣,[':bowl_with_spoon:'],Single,CONSISTENCY,A bowl of thick soup is perfect for warming up on a chilly day.
thick smoke,🌋💨,"[':volcano:', ':dashing_away:']",Metaphorical,THICKNESS,"The volcano erupted, releasing thick smoke into the air."
thick smoke,💨💨💨😤🌋🚬😤,"[':dashing_away:', ':dashing_away:', ':dashing_away:', ':face_with_steam_from_nose:', ':volcano:', ':cigarette:', ':face_with_steam_from_nose:']",Metaphorical,THICKNESS,"The thick smoke billowed from the volcano, and the tension in the air was palpable as the frustrated onlookers watched."
thick smoke,💨👁️❌,"[':dashing_away:', ':eye:', ':cross_mark:']",Metaphorical,THICKNESS,The thick smoke is obscuring visibility.
thick smoke,💨🚬,"[':dashing_away:', ':cigarette:']",Metaphorical,THICKNESS,The thick smoke from the cigarette filled the air.
thick smoke,🌋🌋🌋😷,"[':volcano:', ':volcano:', ':volcano:', ':face_with_medical_mask:']",Metaphorical,THICKNESS,"The volcanoes are erupting, releasing thick smoke that fills the air, making it hard to breathe."
thick smoke,💨💨🌫️🌫️,"[':dashing_away:', ':dashing_away:', ':fog:', ':fog:']",Semantic list,THICKNESS,The air is filled with thick smoke.
thick smoke,🔥💨💨💨💨,"[':fire:', ':dashing_away:', ':dashing_away:', ':dashing_away:', ':dashing_away:']",Metaphorical,THICKNESS,The thick smoke billowed dramatically into the air.
thick smoke,💨,[':dashing_away:'],Single,THICKNESS,"Thick smoke billowed through the air, obscuring visibility and choking the surroundings."
thick cream,🍦🍦🍦,"[':soft_ice_cream:', ':soft_ice_cream:', ':soft_ice_cream:']",Reduplication,THICKNESS,"""Enjoying a delicious treat of thick cream ice cream!"""
thick cream,🍨🍦,"[':ice_cream:', ':soft_ice_cream:']",Semantic list,THICKNESS,Indulge in a delightful treat with thick cream ice cream!
thick cream,🍦🥫🍦🍦🍦🍦,"[':soft_ice_cream:', ':canned_food:', ':soft_ice_cream:', ':soft_ice_cream:', ':soft_ice_cream:', ':soft_ice_cream:']",Semantic list,THICKNESS,"The dessert consists of thick cream, served in a can and topped with delicious ice cream."
thick cream,🧁,[':cupcake:'],Single,THICKNESS,The cupcake is topped with a generous swirl of thick cream.
thick cream,🧴💪,"[':lotion_bottle:', ':flexed_biceps:']",Metaphorical,THICKNESS,"""Apply the thick cream to nourish and strengthen your skin."""
thick cream,🍶🍶,"[':sake:', ':sake:']",Reduplication,THICKNESS,"""Two jars of thick cream."""
thick cream,📏🍦🍦,"[':straight_ruler:', ':soft_ice_cream:', ':soft_ice_cream:']",Metaphorical,THICKNESS,The thick cream is as rich and delightful as a generous serving of ice cream.
thick cream,🍦,[':soft_ice_cream:'],Single,THICKNESS,The thick cream in the ice cream makes it rich and delicious.
thick fog,🌫️🌫️🌫️,"[':fog:', ':fog:', ':fog:']",Reduplication,THICKNESS,"The thick fog enveloped the landscape, making it difficult to see anything beyond a few feet."
thick fog,✈️🙈,"[':airplane:', ':see-no-evil_monkey:']",Metaphorical,THICKNESS,"The airplane is flying through thick fog, making it hard to see anything."
thick fog,💨👁️🌫️,"[':dashing_away:', ':eye:', ':fog:']",Metaphorical,THICKNESS,"The dense fog rolled in, obscuring everything in sight like a veil."
thick fog,🌫️🌫️🌁,"[':fog:', ':fog:', ':foggy:']",Semantic list,THICKNESS,"The thick fog enveloped the city, shrouding the skyline in mystery."
thick fog,🌫️🌫️🌫️,"[':fog:', ':fog:', ':fog:']",Reduplication,THICKNESS,"The thick fog enveloped the landscape, reducing visibility to almost nothing."
thick fog,🌫️🌫️,"[':fog:', ':fog:']",Reduplication,THICKNESS,"The thick fog enveloped the landscape, making it difficult to see even a few feet ahead."
thick fog,📏🌫️🌫️🌫️🌁🌁,"[':straight_ruler:', ':fog:', ':fog:', ':fog:', ':foggy:', ':foggy:']",Semantic list,THICKNESS,The visibility is poor due to the thick fog hanging over the city skyline.
thick fog,🌫😶‍🌫️,"[':fog:', ':face_in_clouds:']",Semantic list,THICKNESS,"The thick fog enveloped the landscape, making everything seem hazy and unclear."
wrong paper,❌📄,"[':cross_mark:', ':page_facing_up:']",Direct,CORRECTNESS,The document is incorrect.
wrong paper,❌📜,"[':cross_mark:', ':scroll:']",Direct,CORRECTNESS,The document is incorrect.
wrong paper,🙅‍♀️📃,"[':woman_gesturing_NO:', ':page_with_curl:']",Direct,CORRECTNESS,"""She rejected the document because it was the wrong paper."""
wrong paper,❌📄,"[':cross_mark:', ':page_facing_up:']",Direct,CORRECTNESS,The document is incorrect.
wrong paper,🙅‍♂️📄,"[':man_gesturing_NO:', ':page_facing_up:']",Direct,CORRECTNESS,"""That's the wrong paper!"""
wrong paper,❌️📃,"[':cross_mark:', '', ':page_with_curl:']",Direct,CORRECTNESS,The document is incorrect.
wrong paper,❌📜,"[':cross_mark:', ':scroll:']",Direct,CORRECTNESS,The document is incorrect.
wrong paper,❌📃,"[':cross_mark:', ':page_with_curl:']",Direct,CORRECTNESS,The document is incorrect.
wrong road,❌🛣️,"[':cross_mark:', ':motorway:']",Direct,CORRECTNESS,The sign indicates that you are on the wrong road.
wrong road,❌🛣️,"[':cross_mark:', ':motorway:']",Direct,CORRECTNESS,The sign indicates that you are on the wrong road.
wrong road,🙅‍♀️🛣,"[':woman_gesturing_NO:', ':motorway:']",Direct,CORRECTNESS,"""She is refusing to take the wrong road."""
wrong road,❌🛣️,"[':cross_mark:', ':motorway:']",Direct,CORRECTNESS,You have taken the wrong road.
wrong road,🙅‍♂️🛣️,"[':man_gesturing_NO:', ':motorway:']",Direct,CORRECTNESS,"""Don't take the wrong road."""
wrong road,❌️🛣,"[':cross_mark:', '', ':motorway:']",Direct,CORRECTNESS,The path you are on is not the right one.
wrong road,❌🛣️,"[':cross_mark:', ':motorway:']",Direct,CORRECTNESS,"""You're on the wrong road."""
wrong road,🙅🛣️,"[':person_gesturing_NO:', ':motorway:']",Direct,CORRECTNESS,"""Don't take that wrong road!"""
wrong cheating,❌👩‍💻,"[':cross_mark:', ':woman_technologist:']",Direct,RIGHTNESS,"""Cheating is not acceptable for a professional."""
wrong cheating,❌📑,"[':cross_mark:', ':bookmark_tabs:']",Direct,RIGHTNESS,"""Cheating on the exam is not acceptable."""
wrong cheating,🙅‍♀️💔,"[':woman_gesturing_NO:', ':broken_heart:']",Metaphorical,RIGHTNESS,"""She is rejecting the idea of love after finding out about the betrayal."""
wrong cheating,🙅👩‍❤️‍💋‍👨💔,"[':person_gesturing_NO:', ':kiss_woman_man:', ':broken_heart:']",Metaphorical,RIGHTNESS,"""She rejected him after discovering his infidelity."""
wrong cheating,🙅‍♂️😈🤫✍️📄📚💯,"[':man_gesturing_NO:', ':smiling_face_with_horns:', ':shushing_face:', ':writing_hand:', ':page_facing_up:', ':books:', ':hundred_points:']",Metaphorical,RIGHTNESS,"""Don't cheat on your exams by writing down answers secretly!"""
wrong cheating,👎📝,"[':thumbs_down:', ':memo:']",Direct,RIGHTNESS,Cheating on an exam is a bad decision.
wrong cheating,❌📝📋,"[':cross_mark:', ':memo:', ':clipboard:']",Direct,RIGHTNESS,"""Cheating on the test is not acceptable."""
wrong cheating,😏👎,"[':smirking_face:', ':thumbs_down:']",Metaphorical,RIGHTNESS,"""Cheating is not the right way to succeed."""
wrong way,❌↗️↖️❎,"[':cross_mark:', ':up-right_arrow:', ':up-left_arrow:', ':cross_mark_button:']",Metaphorical,PROPRIETY,The sign indicates that you are going the wrong way.
wrong way,❌↩️,"[':cross_mark:', ':right_arrow_curving_left:']",Direct,PROPRIETY,"""That's not the right direction; you should turn back."""
wrong way,🙅‍♀️🚸,"[':woman_gesturing_NO:', ':children_crossing:']",Direct,PROPRIETY,"""Please do not enter; you are heading the wrong way!"""
wrong way,❌↗️🗺️,"[':cross_mark:', ':up-right_arrow:', ':world_map:']",Metaphorical,PROPRIETY,"""You're going the wrong way on the map."""
wrong way,🙅‍♂️🗺️🧭,"[':man_gesturing_NO:', ':world_map:', ':compass:']",Metaphorical,PROPRIETY,"""Don't go that way; you're headed in the wrong direction!"""
wrong way,❌️🧭,"[':cross_mark:', '', ':compass:']",Metaphorical,PROPRIETY,"""You're heading the wrong way."""
wrong way,❌🗺️🙅‍♀️,"[':cross_mark:', ':world_map:', ':woman_gesturing_NO:']",Direct,PROPRIETY,"""You're going the wrong way!"""
wrong way,🤦🧭,"[':person_facepalming:', ':compass:']",Direct,PROPRIETY,"""I can't believe I took the wrong way!"""
wrong medicine,❌💊,"[':cross_mark:', ':pill:']",Direct,PROPRIETY,The medicine you took is incorrect.
wrong medicine,❌💊,"[':cross_mark:', ':pill:']",Direct,PROPRIETY,"""That medicine is not the right one."""
wrong medicine,🙅‍♀️💊,"[':woman_gesturing_NO:', ':pill:']",Direct,PROPRIETY,"""She refused to take the wrong medicine."""
wrong medicine,❌💊🤒,"[':cross_mark:', ':pill:', ':face_with_thermometer:']",Direct,PROPRIETY,"""I took the wrong medicine and now I'm feeling sick."""
wrong medicine,🙅‍♂️💊,"[':man_gesturing_NO:', ':pill:']",Direct,PROPRIETY,"""That is not the right medicine!"""
wrong medicine,❌️💊,"[':cross_mark:', '', ':pill:']",Direct,PROPRIETY,The medicine you took is the wrong one.
wrong medicine,❌💊,"[':cross_mark:', ':pill:']",Direct,PROPRIETY,The wrong medicine was taken.
wrong medicine,❌💊,"[':cross_mark:', ':pill:']",Direct,PROPRIETY,The medicine you took is not the right one.
wrong information,❌ℹ️,"[':cross_mark:', ':information:']",Direct,CORRECTNESS,The information provided is incorrect.
wrong information,❌ℹ️,"[':cross_mark:', ':information:']",Direct,CORRECTNESS,"""Incorrect information."""
wrong information,🙅‍♀️ℹ,"[':woman_gesturing_NO:', ':information:']",Direct,CORRECTNESS,"""Please do not believe this wrong information."""
wrong information,❌💭❓,"[':cross_mark:', ':thought_balloon:', ':red_question_mark:']",Metaphorical,CORRECTNESS,"""Is this information incorrect?"""
wrong information,🙅‍♂️📑🗂️,"[':man_gesturing_NO:', ':bookmark_tabs:', ':card_index_dividers:']",Direct,CORRECTNESS,"""Please disregard the incorrect information in the document."""
wrong information,❌️🧠,"[':cross_mark:', '', ':brain:']",Metaphorical,CORRECTNESS,"""Incorrect information can lead to misunderstandings."""
wrong information,❌📰,"[':cross_mark:', ':newspaper:']",Direct,CORRECTNESS,The news article contains incorrect information.
